Country.Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious.Critical;Tot.Cases.1M.pop;Deaths.1M.pop;TotalTests;Tests.1M.pop;Continent;Death Rate(%) DR;Recover Rate(%) RR;Country Severity Index (Deaths/Recovered*100)
Gabon;     57;NA;     1;NA;     1;     55;NA;   26,00;   0,40;NA;NA;Africa; 1,7543860;  1,7543860; 100,0000000
French Polynesia;     55;NA;NA;NA;NA;     55;    1;  196,00;NA;    920;  3275;Australia/Oceania;NA;NA;NA
Uganda;     55;    1;NA;NA;     8;     47;NA;    1,00;NA;   6661;   146;Africa;NA; 14,5454545;NA
Cayman Islands;     54;NA;     1;NA;     6;     47;    3;  822,00;  15,00;    580;  8825;North America; 1,8518519; 11,1111111;  16,6666667
Tanzania;     53;    4;     3;NA;     7;     43;NA;    0,90;   0,05;NA;NA;Africa; 5,6603774; 13,2075472;  42,8571429
Sint Maarten;     52;    2;     9;NA;     5;     38;    2; 1213,00; 210,00;    134;  3125;North America;17,3076923;  9,6153846; 180,0000000
Bahamas;     49;NA;     8;NA;     6;     35;    1;  125,00;  20,00;NA;NA;North America;16,3265306; 12,2448980; 133,3333333
Guyana;     47;NA;     6;NA;     8;     33;    5;   60,00;   8,00;    213;   271;South America;12,7659574; 17,0212766;  75,0000000
Zambia;     45;NA;     2;NA;    30;     13;    1;    2,00;   0,10;   1696;    92;Africa; 4,4444444; 66,6666667;   6,6666667
Macao;     45;NA;NA;NA;    10;     35;    1;   69,00;NA;NA;NA;Asia;NA; 22,2222222;NA
Guinea-Bissau;     43;    5;NA;NA;NA;     43;NA;   22,00;NA;   1500;   762;Africa;NA;NA;NA
Equatorial Guinea;     41;   20;NA;NA;     4;     37;NA;   29,00;NA;    854;   609;Africa;NA;  9,7560976;NA
Haiti;     40;NA;     3;NA;NA;     37;NA;    4,00;   0,30;    365;    32;North America; 7,5000000;NA;NA
Benin;     35;NA;     1;NA;    18;     16;NA;    3,00;   0,08;NA;NA;Africa; 2,8571429; 51,4285714;   5,5555556
Libya;     35;    9;     1;NA;     9;     25;NA;    5,00;   0,10;    570;    83;Africa; 2,8571429; 25,7142857;  11,1111111
Eritrea;     35;    1;NA;NA;NA;     35;NA;   10,00;NA;NA;NA;Africa;NA;NA;NA
Sudan;     32;    3;     5;   1;     4;     23;NA;    0,70;   0,10;NA;NA;Africa;15,6250000; 12,5000000; 125,0000000
Saint Martin;     32;NA;     2;NA;    11;     19;    5;  828,00;  52,00;NA;NA;North America; 6,2500000; 34,3750000;  18,1818182
Mongolia;     30;   13;NA;NA;     5;     25;NA;    9,00;NA;   1000;   305;Asia;NA; 16,6666667;NA
Syria;     29;    4;     2;NA;     5;     22;NA;    2,00;   0,10;NA;NA;Asia; 6,8965517; 17,2413793;  40,0000000
Mozambique;     28;    7;NA;NA;     2;     26;NA;    0,90;NA;    762;    24;Africa;NA;  7,1428571;NA
Antigua and Barbuda;     23;NA;     2;NA;     3;     18;    1;  235,00;  20,00;     73;   745;North America; 8,6956522; 13,0434783;  66,6666667
